id,url,head_code,name
50,https://icd.who.int/browse10/2019/en#/A50-A64,A57,Chancroid
51,https://icd.who.int/browse10/2019/en#/A50-A64,A58,Granuloma inguinale
52,https://icd.who.int/browse10/2019/en#/A50-A64,A59,Trichomoniasis
53,https://icd.who.int/browse10/2019/en#/A50-A64,A60,Anogenital herpesviral [herpes simplex] infection
54,https://icd.who.int/browse10/2019/en#/A50-A64,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
55,https://icd.who.int/browse10/2019/en#/A50-A64,A64,Unspecified sexually transmitted disease
56,https://icd.who.int/browse10/2019/en#/A65-A69,A65,Nonvenereal syphilis
57,https://icd.who.int/browse10/2019/en#/A65-A69,A66,Yaws
58,https://icd.who.int/browse10/2019/en#/A65-A69,A67,Pinta [carate]
59,https://icd.who.int/browse10/2019/en#/A65-A69,A68,Relapsing fevers
60,https://icd.who.int/browse10/2019/en#/A65-A69,A69,Other spirochaetal infections
61,https://icd.who.int/browse10/2019/en#/A70-A74,A70,Chlamydia psittaci infection
62,https://icd.who.int/browse10/2019/en#/A70-A74,A71,Trachoma
63,https://icd.who.int/browse10/2019/en#/A70-A74,A74,Other diseases caused by chlamydiae
64,https://icd.who.int/browse10/2019/en#/A75-A79,A75,Typhus fever
65,https://icd.who.int/browse10/2019/en#/A75-A79,A77,Spotted fever [tick-borne rickettsioses]
66,https://icd.who.int/browse10/2019/en#/A75-A79,A78,Q fever
67,https://icd.who.int/browse10/2019/en#/A75-A79,A79,Other rickettsioses
68,https://icd.who.int/browse10/2019/en#/A80-A89,A80,Acute poliomyelitis
69,https://icd.who.int/browse10/2019/en#/A80-A89,A81,Atypical virus infections of central nervous system
70,https://icd.who.int/browse10/2019/en#/A80-A89,A82,Rabies
71,https://icd.who.int/browse10/2019/en#/A80-A89,A83,Mosquito-borne viral encephalitis
72,https://icd.who.int/browse10/2019/en#/A80-A89,A84,Tick-borne viral encephalitis
73,https://icd.who.int/browse10/2019/en#/A80-A89,A85,"Other viral encephalitis, not elsewhere classified"
74,https://icd.who.int/browse10/2019/en#/A80-A89,A86,Unspecified viral encephalitis
75,https://icd.who.int/browse10/2019/en#/A80-A89,A87,Viral meningitis
76,https://icd.who.int/browse10/2019/en#/A80-A89,A88,"Other viral infections of central nervous system, not elsewhere classified"
77,https://icd.who.int/browse10/2019/en#/A80-A89,A89,Unspecified viral infection of central nervous system
78,https://icd.who.int/browse10/2019/en#/A92-A99,A92,Other mosquito-borne viral fevers
79,https://icd.who.int/browse10/2019/en#/A92-A99,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
80,https://icd.who.int/browse10/2019/en#/A92-A99,A94,Unspecified arthropod-borne viral fever
81,https://icd.who.int/browse10/2019/en#/A92-A99,A95,Yellow fever
82,https://icd.who.int/browse10/2019/en#/A92-A99,A96,Arenaviral haemorrhagic fever
83,https://icd.who.int/browse10/2019/en#/A92-A99,A97,Dengue
84,https://icd.who.int/browse10/2019/en#/A92-A99,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
85,https://icd.who.int/browse10/2019/en#/A92-A99,A99,Unspecified viral haemorrhagic fever
86,https://icd.who.int/browse10/2019/en#/B00-B09,B00,Herpesviral [herpes simplex] infections
87,https://icd.who.int/browse10/2019/en#/B00-B09,B01,Varicella [chickenpox]
88,https://icd.who.int/browse10/2019/en#/B00-B09,B02,Zoster [herpes zoster]
89,https://icd.who.int/browse10/2019/en#/B00-B09,B03,"Smallpox
[Footnote: In 1980 the 33rd World Health Assembly declared that smallpox had been eradicated. The classification is maintained for surveillance purposes.]"
90,https://icd.who.int/browse10/2019/en#/B00-B09,B04,Monkeypox
91,https://icd.who.int/browse10/2019/en#/B00-B09,B05,Measles
92,https://icd.who.int/browse10/2019/en#/B00-B09,B06,Rubella [German measles]
93,https://icd.who.int/browse10/2019/en#/B00-B09,B07,Viral warts
94,https://icd.who.int/browse10/2019/en#/B00-B09,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
95,https://icd.who.int/browse10/2019/en#/B00-B09,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
96,https://icd.who.int/browse10/2019/en#/B15-B19,B15,Acute hepatitis A
97,https://icd.who.int/browse10/2019/en#/B15-B19,B16,Acute hepatitis B
98,https://icd.who.int/browse10/2019/en#/B15-B19,B17,Other acute viral hepatitis
99,https://icd.who.int/browse10/2019/en#/B15-B19,B18,Chronic viral hepatitis
100,https://icd.who.int/browse10/2019/en#/B15-B19,B19,Unspecified viral hepatitis
101,https://icd.who.int/browse10/2019/en#/B20-B24,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
102,https://icd.who.int/browse10/2019/en#/B20-B24,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
103,https://icd.who.int/browse10/2019/en#/B20-B24,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
104,https://icd.who.int/browse10/2019/en#/B20-B24,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
105,https://icd.who.int/browse10/2019/en#/B20-B24,B24,Unspecified human immunodeficiency virus [HIV] disease
106,https://icd.who.int/browse10/2019/en#/B25-B34,B25,Cytomegaloviral disease
107,https://icd.who.int/browse10/2019/en#/B25-B34,B26,Mumps
108,https://icd.who.int/browse10/2019/en#/B25-B34,B27,Infectious mononucleosis
109,https://icd.who.int/browse10/2019/en#/B25-B34,B30,Viral conjunctivitis
110,https://icd.who.int/browse10/2019/en#/B25-B34,B33,"Other viral diseases, not elsewhere classified"
111,https://icd.who.int/browse10/2019/en#/B25-B34,B34,Viral infection of unspecified site
112,https://icd.who.int/browse10/2019/en#/B35-B49,B35,Dermatophytosis
113,https://icd.who.int/browse10/2019/en#/B35-B49,B36,Other superficial mycoses
114,https://icd.who.int/browse10/2019/en#/B35-B49,B37,Candidiasis
115,https://icd.who.int/browse10/2019/en#/B35-B49,B38,Coccidioidomycosis
116,https://icd.who.int/browse10/2019/en#/B35-B49,B39,Histoplasmosis
117,https://icd.who.int/browse10/2019/en#/B35-B49,B40,Blastomycosis
118,https://icd.who.int/browse10/2019/en#/B35-B49,B41,Paracoccidioidomycosis
119,https://icd.who.int/browse10/2019/en#/B35-B49,B42,Sporotrichosis
120,https://icd.who.int/browse10/2019/en#/B35-B49,B43,Chromomycosis and phaeomycotic abscess
121,https://icd.who.int/browse10/2019/en#/B35-B49,B44,Aspergillosis
122,https://icd.who.int/browse10/2019/en#/B35-B49,B45,Cryptococcosis
123,https://icd.who.int/browse10/2019/en#/B35-B49,B46,Zygomycosis
124,https://icd.who.int/browse10/2019/en#/B35-B49,B47,Mycetoma
125,https://icd.who.int/browse10/2019/en#/B35-B49,B48,"Other mycoses, not elsewhere classified"
126,https://icd.who.int/browse10/2019/en#/B35-B49,B49,Unspecified mycosis
127,https://icd.who.int/browse10/2019/en#/B50-B64,B50,Plasmodium falciparum malaria
128,https://icd.who.int/browse10/2019/en#/B50-B64,B51,Plasmodium vivax malaria
129,https://icd.who.int/browse10/2019/en#/B50-B64,B52,Plasmodium malariae malaria
130,https://icd.who.int/browse10/2019/en#/B50-B64,B53,Other parasitologically confirmed malaria
131,https://icd.who.int/browse10/2019/en#/B50-B64,B54,Unspecified malaria
132,https://icd.who.int/browse10/2019/en#/B50-B64,B55,Leishmaniasis
133,https://icd.who.int/browse10/2019/en#/B50-B64,B56,African trypanosomiasis
134,https://icd.who.int/browse10/2019/en#/B50-B64,B57,Chagas disease
135,https://icd.who.int/browse10/2019/en#/B50-B64,B58,Toxoplasmosis
136,https://icd.who.int/browse10/2019/en#/B50-B64,B60,"Other protozoal diseases, not elsewhere classified"
137,https://icd.who.int/browse10/2019/en#/B50-B64,B64,Unspecified protozoal disease
138,https://icd.who.int/browse10/2019/en#/B65-B83,B65,Schistosomiasis [bilharziasis]
139,https://icd.who.int/browse10/2019/en#/B65-B83,B66,Other fluke infections
140,https://icd.who.int/browse10/2019/en#/B65-B83,B67,Echinococcosis
141,https://icd.who.int/browse10/2019/en#/B65-B83,B68,Taeniasis
142,https://icd.who.int/browse10/2019/en#/B65-B83,B69,Cysticercosis
143,https://icd.who.int/browse10/2019/en#/B65-B83,B70,Diphyllobothriasis and sparganosis
144,https://icd.who.int/browse10/2019/en#/B65-B83,B71,Other cestode infections
145,https://icd.who.int/browse10/2019/en#/B65-B83,B72,Dracunculiasis
146,https://icd.who.int/browse10/2019/en#/B65-B83,B73,Onchocerciasis
147,https://icd.who.int/browse10/2019/en#/B65-B83,B74,Filariasis
148,https://icd.who.int/browse10/2019/en#/B65-B83,B75,Trichinellosis
149,https://icd.who.int/browse10/2019/en#/B65-B83,B76,Hookworm diseases
150,https://icd.who.int/browse10/2019/en#/B65-B83,B77,Ascariasis
151,https://icd.who.int/browse10/2019/en#/B65-B83,B78,Strongyloidiasis
152,https://icd.who.int/browse10/2019/en#/B65-B83,B79,Trichuriasis
153,https://icd.who.int/browse10/2019/en#/B65-B83,B80,Enterobiasis
154,https://icd.who.int/browse10/2019/en#/B65-B83,B81,"Other intestinal helminthiases, not elsewhere classified"
155,https://icd.who.int/browse10/2019/en#/B65-B83,B82,Unspecified intestinal parasitism
156,https://icd.who.int/browse10/2019/en#/B65-B83,B83,Other helminthiases
157,https://icd.who.int/browse10/2019/en#/B85-B89,B85,Pediculosis and phthiriasis
158,https://icd.who.int/browse10/2019/en#/B85-B89,B86,Scabies
159,https://icd.who.int/browse10/2019/en#/B85-B89,B87,Myiasis
160,https://icd.who.int/browse10/2019/en#/B85-B89,B88,Other infestations
161,https://icd.who.int/browse10/2019/en#/B85-B89,B89,Unspecified parasitic disease
162,https://icd.who.int/browse10/2019/en#/B90-B94,B90,Sequelae of tuberculosis
163,https://icd.who.int/browse10/2019/en#/B90-B94,B91,Sequelae of poliomyelitis
164,https://icd.who.int/browse10/2019/en#/B90-B94,B92,Sequelae of leprosy
165,https://icd.who.int/browse10/2019/en#/B90-B94,B94,Sequelae of other and unspecified infectious and parasitic diseases
166,https://icd.who.int/browse10/2019/en#/B95-B98,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
167,https://icd.who.int/browse10/2019/en#/B95-B98,B96,Other specified bacterial agents as the cause of diseases classified to other chapters
168,https://icd.who.int/browse10/2019/en#/B95-B98,B97,Viral agents as the cause of diseases classified to other chapters
169,https://icd.who.int/browse10/2019/en#/B95-B98,B98,Other specified infectious agents as the cause of diseases classified to other chapters
170,https://icd.who.int/browse10/2019/en#/B99-B99,B99,Other and unspecified infectious diseases
171,https://icd.who.int/browse10/2019/en#/C00-C14,C00,Malignant neoplasm of lip
172,https://icd.who.int/browse10/2019/en#/C00-C14,C01,Malignant neoplasm of base of tongue
173,https://icd.who.int/browse10/2019/en#/C00-C14,C02,Malignant neoplasm of other and unspecified parts of tongue
174,https://icd.who.int/browse10/2019/en#/C00-C14,C03,Malignant neoplasm of gum
175,https://icd.who.int/browse10/2019/en#/C00-C14,C04,Malignant neoplasm of floor of mouth
176,https://icd.who.int/browse10/2019/en#/C00-C14,C05,Malignant neoplasm of palate
177,https://icd.who.int/browse10/2019/en#/C00-C14,C06,Malignant neoplasm of other and unspecified parts of mouth
178,https://icd.who.int/browse10/2019/en#/C00-C14,C07,Malignant neoplasm of parotid gland
179,https://icd.who.int/browse10/2019/en#/C00-C14,C08,Malignant neoplasm of other and unspecified major salivary glands
180,https://icd.who.int/browse10/2019/en#/C00-C14,C09,Malignant neoplasm of tonsil
181,https://icd.who.int/browse10/2019/en#/C00-C14,C10,Malignant neoplasm of oropharynx
182,https://icd.who.int/browse10/2019/en#/C00-C14,C11,Malignant neoplasm of nasopharynx
183,https://icd.who.int/browse10/2019/en#/C00-C14,C12,Malignant neoplasm of piriform sinus
184,https://icd.who.int/browse10/2019/en#/C00-C14,C13,Malignant neoplasm of hypopharynx
185,https://icd.who.int/browse10/2019/en#/C00-C14,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
186,https://icd.who.int/browse10/2019/en#/C15-C26,C15,Malignant neoplasm of oesophagus
187,https://icd.who.int/browse10/2019/en#/C15-C26,C16,Malignant neoplasm of stomach
188,https://icd.who.int/browse10/2019/en#/C15-C26,C17,Malignant neoplasm of small intestine
189,https://icd.who.int/browse10/2019/en#/C15-C26,C18,Malignant neoplasm of colon
190,https://icd.who.int/browse10/2019/en#/C15-C26,C19,Malignant neoplasm of rectosigmoid junction
191,https://icd.who.int/browse10/2019/en#/C15-C26,C20,Malignant neoplasm of rectum
192,https://icd.who.int/browse10/2019/en#/C15-C26,C21,Malignant neoplasm of anus and anal canal
193,https://icd.who.int/browse10/2019/en#/C15-C26,C22,Malignant neoplasm of liver and intrahepatic bile ducts
194,https://icd.who.int/browse10/2019/en#/C15-C26,C23,Malignant neoplasm of gallbladder
195,https://icd.who.int/browse10/2019/en#/C15-C26,C24,Malignant neoplasm of other and unspecified parts of biliary tract
196,https://icd.who.int/browse10/2019/en#/C15-C26,C25,Malignant neoplasm of pancreas
197,https://icd.who.int/browse10/2019/en#/C15-C26,C26,Malignant neoplasm of other and ill-defined digestive organs
198,https://icd.who.int/browse10/2019/en#/C30-C39,C30,Malignant neoplasm of nasal cavity and middle ear
199,https://icd.who.int/browse10/2019/en#/C30-C39,C31,Malignant neoplasm of accessory sinuses
200,https://icd.who.int/browse10/2019/en#/C30-C39,C32,Malignant neoplasm of larynx
201,https://icd.who.int/browse10/2019/en#/C30-C39,C33,Malignant neoplasm of trachea
202,https://icd.who.int/browse10/2019/en#/C30-C39,C34,Malignant neoplasm of bronchus and lung
203,https://icd.who.int/browse10/2019/en#/C30-C39,C37,Malignant neoplasm of thymus
204,https://icd.who.int/browse10/2019/en#/C30-C39,C38,"Malignant neoplasm of heart, mediastinum and pleura"
205,https://icd.who.int/browse10/2019/en#/C30-C39,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
206,https://icd.who.int/browse10/2019/en#/C40-C41,C40,Malignant neoplasm of bone and articular cartilage of limbs
207,https://icd.who.int/browse10/2019/en#/C40-C41,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
208,https://icd.who.int/browse10/2019/en#/C43-C44,C43,Malignant melanoma of skin
209,https://icd.who.int/browse10/2019/en#/C43-C44,C44,Other malignant neoplasms of skin
210,https://icd.who.int/browse10/2019/en#/C45-C49,C45,Mesothelioma
211,https://icd.who.int/browse10/2019/en#/C45-C49,C46,Kaposi sarcoma
212,https://icd.who.int/browse10/2019/en#/C45-C49,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
213,https://icd.who.int/browse10/2019/en#/C45-C49,C48,Malignant neoplasm of retroperitoneum and peritoneum
214,https://icd.who.int/browse10/2019/en#/C45-C49,C49,Malignant neoplasm of other connective and soft tissue
215,https://icd.who.int/browse10/2019/en#/C50-C50,C50,Malignant neoplasm of breast
216,https://icd.who.int/browse10/2019/en#/C51-C58,C51,Malignant neoplasm of vulva
217,https://icd.who.int/browse10/2019/en#/C51-C58,C52,Malignant neoplasm of vagina
218,https://icd.who.int/browse10/2019/en#/C51-C58,C53,Malignant neoplasm of cervix uteri
219,https://icd.who.int/browse10/2019/en#/C51-C58,C54,Malignant neoplasm of corpus uteri
220,https://icd.who.int/browse10/2019/en#/C51-C58,C55,"Malignant neoplasm of uterus, part unspecified"
221,https://icd.who.int/browse10/2019/en#/C51-C58,C56,Malignant neoplasm of ovary
222,https://icd.who.int/browse10/2019/en#/C51-C58,C57,Malignant neoplasm of other and unspecified female genital organs
223,https://icd.who.int/browse10/2019/en#/C51-C58,C58,Malignant neoplasm of placenta
224,https://icd.who.int/browse10/2019/en#/C60-C63,C60,Malignant neoplasm of penis
225,https://icd.who.int/browse10/2019/en#/C60-C63,C61,Malignant neoplasm of prostate
226,https://icd.who.int/browse10/2019/en#/C60-C63,C62,Malignant neoplasm of testis
227,https://icd.who.int/browse10/2019/en#/C60-C63,C63,Malignant neoplasm of other and unspecified male genital organs
228,https://icd.who.int/browse10/2019/en#/C64-C68,C64,"Malignant neoplasm of kidney, except renal pelvis"
229,https://icd.who.int/browse10/2019/en#/C64-C68,C65,Malignant neoplasm of renal pelvis
230,https://icd.who.int/browse10/2019/en#/C64-C68,C66,Malignant neoplasm of ureter
231,https://icd.who.int/browse10/2019/en#/C64-C68,C67,Malignant neoplasm of bladder
232,https://icd.who.int/browse10/2019/en#/C64-C68,C68,Malignant neoplasm of other and unspecified urinary organs
233,https://icd.who.int/browse10/2019/en#/C69-C72,C69,Malignant neoplasm of eye and adnexa
234,https://icd.who.int/browse10/2019/en#/C69-C72,C70,Malignant neoplasm of meninges
235,https://icd.who.int/browse10/2019/en#/C69-C72,C71,Malignant neoplasm of brain
236,https://icd.who.int/browse10/2019/en#/C69-C72,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
237,https://icd.who.int/browse10/2019/en#/C73-C75,C73,Malignant neoplasm of thyroid gland
238,https://icd.who.int/browse10/2019/en#/C73-C75,C74,Malignant neoplasm of adrenal gland
239,https://icd.who.int/browse10/2019/en#/C73-C75,C75,Malignant neoplasm of other endocrine glands and related structures
240,https://icd.who.int/browse10/2019/en#/C76-C80,C76,Malignant neoplasm of other and ill-defined sites
241,https://icd.who.int/browse10/2019/en#/C76-C80,C77,Secondary and unspecified malignant neoplasm of lymph nodes
242,https://icd.who.int/browse10/2019/en#/C76-C80,C78,Secondary malignant neoplasm of respiratory and digestive organs
243,https://icd.who.int/browse10/2019/en#/C76-C80,C79,Secondary malignant neoplasm of other and unspecified sites
244,https://icd.who.int/browse10/2019/en#/C76-C80,C80,"Malignant neoplasm, without specification of site"
245,https://icd.who.int/browse10/2019/en#/C81-C96,C81,Hodgkin lymphoma
246,https://icd.who.int/browse10/2019/en#/C81-C96,C82,Follicular lymphoma
247,https://icd.who.int/browse10/2019/en#/C81-C96,C83,Non-follicular lymphoma
248,https://icd.who.int/browse10/2019/en#/C81-C96,C84,Mature T/NK-cell lymphomas
249,https://icd.who.int/browse10/2019/en#/C81-C96,C85,Other and unspecified types of non-Hodgkin lymphoma
250,https://icd.who.int/browse10/2019/en#/C81-C96,C86,Other specified types of T/NK-cell lymphoma
251,https://icd.who.int/browse10/2019/en#/C81-C96,C88,Malignant immunoproliferative diseases
252,https://icd.who.int/browse10/2019/en#/C81-C96,C90,Multiple myeloma and malignant plasma cell neoplasms
253,https://icd.who.int/browse10/2019/en#/C81-C96,C91,Lymphoid leukaemia
254,https://icd.who.int/browse10/2019/en#/C81-C96,C92,Myeloid leukaemia
255,https://icd.who.int/browse10/2019/en#/C81-C96,C93,Monocytic leukaemia
256,https://icd.who.int/browse10/2019/en#/C81-C96,C94,Other leukaemias of specified cell type
257,https://icd.who.int/browse10/2019/en#/C81-C96,C95,Leukaemia of unspecified cell type
258,https://icd.who.int/browse10/2019/en#/C81-C96,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
259,https://icd.who.int/browse10/2019/en#/C97-C97,C97,Malignant neoplasms of independent (primary) multiple sites
260,https://icd.who.int/browse10/2019/en#/D00-D09,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
261,https://icd.who.int/browse10/2019/en#/D00-D09,D01,Carcinoma in situ of other and unspecified digestive organs
262,https://icd.who.int/browse10/2019/en#/D00-D09,D02,Carcinoma in situ of middle ear and respiratory system
263,https://icd.who.int/browse10/2019/en#/D00-D09,D03,Melanoma in situ
264,https://icd.who.int/browse10/2019/en#/D00-D09,D04,Carcinoma in situ of skin
265,https://icd.who.int/browse10/2019/en#/D00-D09,D05,Carcinoma in situ of breast
266,https://icd.who.int/browse10/2019/en#/D00-D09,D06,Carcinoma in situ of cervix uteri
267,https://icd.who.int/browse10/2019/en#/D00-D09,D07,Carcinoma in situ of other and unspecified genital organs
268,https://icd.who.int/browse10/2019/en#/D00-D09,D09,Carcinoma in situ of other and unspecified sites
269,https://icd.who.int/browse10/2019/en#/D10-D36,D10,Benign neoplasm of mouth and pharynx
270,https://icd.who.int/browse10/2019/en#/D10-D36,D11,Benign neoplasm of major salivary glands
271,https://icd.who.int/browse10/2019/en#/D10-D36,D12,"Benign neoplasm of colon, rectum, anus and anal canal"
272,https://icd.who.int/browse10/2019/en#/D10-D36,D13,Benign neoplasm of other and ill-defined parts of digestive system
273,https://icd.who.int/browse10/2019/en#/D10-D36,D14,Benign neoplasm of middle ear and respiratory system
274,https://icd.who.int/browse10/2019/en#/D10-D36,D15,Benign neoplasm of other and unspecified intrathoracic organs
275,https://icd.who.int/browse10/2019/en#/D10-D36,D16,Benign neoplasm of bone and articular cartilage
276,https://icd.who.int/browse10/2019/en#/D10-D36,D17,Benign lipomatous neoplasm
277,https://icd.who.int/browse10/2019/en#/D10-D36,D18,"Haemangioma and lymphangioma, any site"
278,https://icd.who.int/browse10/2019/en#/D10-D36,D19,Benign neoplasm of mesothelial tissue
279,https://icd.who.int/browse10/2019/en#/D10-D36,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
280,https://icd.who.int/browse10/2019/en#/D10-D36,D21,Other benign neoplasms of connective and other soft tissue
281,https://icd.who.int/browse10/2019/en#/D10-D36,D22,Melanocytic naevi
282,https://icd.who.int/browse10/2019/en#/D10-D36,D23,Other benign neoplasms of skin
283,https://icd.who.int/browse10/2019/en#/D10-D36,D24,Benign neoplasm of breast
284,https://icd.who.int/browse10/2019/en#/D10-D36,D25,Leiomyoma of uterus
285,https://icd.who.int/browse10/2019/en#/D10-D36,D26,Other benign neoplasms of uterus
286,https://icd.who.int/browse10/2019/en#/D10-D36,D27,Benign neoplasm of ovary
287,https://icd.who.int/browse10/2019/en#/D10-D36,D28,Benign neoplasm of other and unspecified female genital organs
288,https://icd.who.int/browse10/2019/en#/D10-D36,D29,Benign neoplasm of male genital organs
289,https://icd.who.int/browse10/2019/en#/D10-D36,D30,Benign neoplasm of urinary organs
290,https://icd.who.int/browse10/2019/en#/D10-D36,D31,Benign neoplasm of eye and adnexa
291,https://icd.who.int/browse10/2019/en#/D10-D36,D32,Benign neoplasm of meninges
292,https://icd.who.int/browse10/2019/en#/D10-D36,D33,Benign neoplasm of brain and other parts of central nervous system
293,https://icd.who.int/browse10/2019/en#/D10-D36,D34,Benign neoplasm of thyroid gland
294,https://icd.who.int/browse10/2019/en#/D10-D36,D35,Benign neoplasm of other and unspecified endocrine glands
295,https://icd.who.int/browse10/2019/en#/D10-D36,D36,Benign neoplasm of other and unspecified sites
296,https://icd.who.int/browse10/2019/en#/D37-D48,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
297,https://icd.who.int/browse10/2019/en#/D37-D48,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
298,https://icd.who.int/browse10/2019/en#/D37-D48,D39,Neoplasm of uncertain or unknown behaviour of female genital organs
299,https://icd.who.int/browse10/2019/en#/D37-D48,D40,Neoplasm of uncertain or unknown behaviour of male genital organs
300,https://icd.who.int/browse10/2019/en#/D37-D48,D41,Neoplasm of uncertain or unknown behaviour of urinary organs
301,https://icd.who.int/browse10/2019/en#/D37-D48,D42,Neoplasm of uncertain or unknown behaviour of meninges
302,https://icd.who.int/browse10/2019/en#/D37-D48,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
303,https://icd.who.int/browse10/2019/en#/D37-D48,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands
304,https://icd.who.int/browse10/2019/en#/D37-D48,D45,Polycythaemia vera
305,https://icd.who.int/browse10/2019/en#/D37-D48,D46,Myelodysplastic syndromes
306,https://icd.who.int/browse10/2019/en#/D37-D48,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
